datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jun 13, 2017",0.003472,0.063958,0.002715,0.006232,17185.0,0.0
"Jun 14, 2017",0.004874,0.03043,0.004335,0.016957,36733.0,42793.0
"Jun 15, 2017",0.016956,0.018257,0.006678,0.009662,9916.0,153832.0
"Jun 16, 2017",0.009655,0.014988,0.006245,0.008368,10929.0,89184.0
"Jun 17, 2017",0.012415,0.021233,0.008268,0.016237,22247.0,116467.0
"Jun 18, 2017",0.017486,0.04996,0.015188,0.02548,23932.0,167869.0
"Jun 19, 2017",0.02548,0.037445,0.020034,0.032349,11978.0,248949.0
"Jun 20, 2017",0.032349,0.032374,0.014988,0.019984,10893.0,320992.0
"Jun 21, 2017",0.019984,0.024955,0.018735,0.01876,4587.0,202209.0
"Jun 22, 2017",0.01876,0.024655,0.014988,0.014988,3555.0,193608.0
"Jun 23, 2017",0.014988,0.031216,0.011865,0.029573,9364.0,156421.0
"Jun 24, 2017",0.029597,0.040478,0.023998,0.030181,13183.0,312747.0
"Jun 25, 2017",0.030213,0.033695,0.021714,0.031562,4798.0,323075.0
"Jun 26, 2017",0.031494,0.031894,0.020707,0.028249,4670.0,340895.0
"Jun 27, 2017",0.024604,0.029279,0.019187,0.02104,3152.0,269467.0
"Jun 28, 2017",0.021177,0.023907,0.015437,0.022918,2747.0,234679.0
"Jun 29, 2017",0.022896,0.022967,0.013848,0.018195,2075.0,256367.0
"Jun 30, 2017",0.018231,0.018302,0.011441,0.012632,2509.0,205897.0
"Jul 01, 2017",0.012627,0.021004,0.011425,0.011555,3449.0,144502.0
"Jul 02, 2017",0.011554,0.016837,0.011366,0.015067,3201.0,133582.0
"Jul 03, 2017",0.015012,0.01552,0.01223,0.015203,2400.0,175943.0
"Jul 04, 2017",0.015168,0.015473,0.010267,0.010366,2360.0,179873.0
"Jul 05, 2017",0.01036,0.013028,0.007776,0.010914,2532.0,124273.0
"Jul 06, 2017",0.010919,0.014161,0.009067,0.010257,2048.0,132312.0
"Jul 07, 2017",0.010264,0.010836,0.006393,0.009873,2029.0,125727.0
"Jul 08, 2017",0.009881,0.010174,0.00452,0.010163,1285.0,122256.0
"Jul 09, 2017",0.010172,0.010204,0.005176,0.005176,685.0,127256.0
"Jul 10, 2017",0.005186,0.007253,0.004667,0.006567,1360.0,65414.0
"Jul 11, 2017",0.006553,0.009298,0.004547,0.008101,792.0,83841.0
"Jul 12, 2017",0.008089,0.009551,0.00592,0.006438,1767.0,104709.0
"Jul 13, 2017",0.006443,0.008181,0.005269,0.005318,2084.0,84511.0
"Jul 14, 2017",0.005314,0.007243,0.004186,0.005556,1354.0,70498.0
"Jul 15, 2017",0.005546,0.007331,0.004923,0.005237,1198.0,74269.0
"Jul 16, 2017",0.005221,0.006528,0.004465,0.004716,751.0,70607.0
"Jul 17, 2017",0.004711,0.006769,0.004677,0.005033,878.0,64584.0
"Jul 18, 2017",0.005046,0.007502,0.004888,0.007265,1309.0,69915.0
"Jul 19, 2017",0.007277,0.007277,0.004782,0.006198,1130.0,102132.0
"Jul 20, 2017",0.006179,0.00693,0.004876,0.006718,1082.0,87357.0
"Jul 21, 2017",0.006768,0.006791,0.005654,0.005762,936.0,96596.0
"Jul 22, 2017",0.005761,0.006465,0.005554,0.005859,1128.0,83017.0
"Jul 23, 2017",0.005859,0.006047,0.004163,0.004186,1216.0,85475.0
"Jul 24, 2017",0.004181,0.00484,0.002888,0.002924,592.0,61423.0
"Jul 25, 2017",0.002924,0.003017,0.00175,0.002278,387.0,43431.0
"Jul 26, 2017",0.002279,0.002834,0.001483,0.001813,303.0,34085.0
"Jul 27, 2017",0.001818,0.003773,0.001811,0.002175,436.0,27413.0
"Jul 28, 2017",0.002182,0.003534,0.002053,0.003071,387.0,33541.0
"Jul 29, 2017",0.00306,0.004825,0.002437,0.002473,464.0,47303.0
"Jul 30, 2017",0.002473,0.004267,0.002442,0.002519,383.0,38684.0
"Jul 31, 2017",0.002521,0.002524,0.002096,0.002174,250.0,39738.0
"Aug 01, 2017",0.002175,0.003491,0.002027,0.002047,196.0,34735.0
"Aug 02, 2017",0.002047,0.003163,0.001834,0.00186,210.0,32898.0
"Aug 03, 2017",0.001862,0.001933,0.001862,0.001923,3.0,30180.0
"Aug 04, 2017",0.002759,0.003382,0.002008,0.002827,466.0,44705.0
"Aug 05, 2017",0.002826,0.003733,0.002484,0.003254,588.0,46343.0
"Aug 06, 2017",0.003255,0.003293,0.002381,0.002388,31.0,54009.0
"Aug 07, 2017",0.002383,0.002789,0.001007,0.002643,995.0,40015.0
"Aug 08, 2017",0.002646,0.003267,0.002605,0.003182,797.0,44787.0
"Aug 09, 2017",0.003179,0.003187,0.001955,0.003075,1085.0,54286.0
"Aug 10, 2017",0.003076,0.003086,0.002064,0.002289,756.0,53482.0
"Aug 11, 2017",0.002289,0.003018,0.002279,0.002557,330.0,40472.0
"Aug 12, 2017",0.002555,0.003148,0.00157,0.002439,446.0,45604.0
"Aug 13, 2017",0.002437,0.002582,0.001428,0.002273,383.0,43938.0
"Aug 14, 2017",0.002275,0.003521,0.001053,0.001338,871.0,41514.0
"Aug 15, 2017",0.001341,0.001866,0.001317,0.001494,285.0,24807.0
"Aug 16, 2017",0.001495,0.003339,0.001308,0.003339,445.0,27847.0
"Aug 17, 2017",0.003336,0.003348,0.001421,0.001717,720.0,62691.0
"Aug 18, 2017",0.001712,0.002397,0.001265,0.002385,186.0,32553.0
"Aug 19, 2017",0.003081,0.003347,0.001995,0.002041,1527.0,59195.0
"Aug 20, 2017",0.002031,0.002887,0.001466,0.001466,260.0,39386.0
"Aug 21, 2017",0.001258,0.002548,0.001254,0.002475,507.0,24574.0
"Aug 22, 2017",0.002481,0.002481,0.000976,0.001597,632.0,48865.0
