datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-4-18,0.00208,0.002138,0.001881,0.002097,4860.0,0.0
2017-4-19,0.002073,0.002388,0.00198,0.002179,6028.0,0.0
2017-4-20,0.002216,0.002294,0.002069,0.002201,6095.0,0.0
2017-4-21,0.002201,0.002221,0.002039,0.002114,4516.0,0.0
2017-4-22,0.002115,0.002247,0.001997,0.002229,4242.0,0.0
2017-4-23,0.00223,0.002398,0.002162,0.002353,4607.0,0.0
2017-4-24,0.002358,0.002384,0.001891,0.001977,5394.0,0.0
2017-4-25,0.001978,0.002882,0.001271,0.002225,10407.0,0.0
2017-4-26,0.002226,0.002493,0.001913,0.002203,6411.0,2227300.0
2017-4-27,0.002205,0.002393,0.002136,0.002214,4754.0,2206270.0
2017-4-28,0.002214,0.002461,0.001965,0.002304,6812.0,2215240.0
2017-4-29,0.002306,0.002388,0.001995,0.002075,5488.0,2307730.0
2017-4-30,0.002009,0.002088,0.001232,0.001671,4039.0,2010560.0
2017-5-01,0.001672,0.001823,0.001411,0.001552,4189.0,1672990.0
2017-5-02,0.001636,0.002799,0.001547,0.002702,8459.0,1637250.0
2017-5-03,0.002718,0.002803,0.001986,0.002503,6605.0,2719780.0
2017-5-04,0.002504,0.002992,0.002201,0.002403,10195.0,2506060.0
2017-5-05,0.002408,0.003174,0.002397,0.002726,10983.0,2409390.0
2017-5-06,0.002729,0.003095,0.001745,0.002056,10912.0,2730440.0
2017-5-07,0.002116,0.002202,0.001922,0.0022,5760.0,2117500.0
2017-5-08,0.002185,0.002777,0.002124,0.002292,11061.0,2186280.0
2017-5-09,0.002276,0.0028,0.002001,0.002092,7150.0,2277030.0
2017-5-10,0.002093,0.002167,0.001676,0.001846,6002.0,2094480.0
2017-5-11,0.001849,0.002016,0.001737,0.001924,4956.0,1850490.0
2017-5-12,0.001926,0.002062,0.001609,0.001727,4951.0,1927360.0
2017-5-13,0.001723,0.001969,0.001658,0.001951,4870.0,1724520.0
2017-5-14,0.001957,0.002251,0.001819,0.002025,6178.0,1958380.0
2017-5-15,0.002026,0.002113,0.001788,0.001935,4526.0,2027540.0
2017-5-16,0.001932,0.00223,0.001818,0.002206,5665.0,1933040.0
2017-5-17,0.002171,0.002336,0.002035,0.002301,6854.0,2172910.0
2017-5-18,0.0023,0.002339,0.002117,0.002331,7113.0,2301790.0
2017-5-19,0.002332,0.002432,0.002047,0.002314,6979.0,2333740.0
2017-5-20,0.002311,0.002483,0.002217,0.002473,5983.0,2312690.0
2017-5-21,0.002472,0.002618,0.002391,0.002561,8728.0,2473690.0
2017-5-22,0.00257,0.002637,0.00183,0.002474,5439.0,2571800.0
2017-5-23,0.00247,0.003011,0.00247,0.002893,14711.0,2471720.0
2017-5-24,0.002855,0.003351,0.002855,0.003242,7193.0,2856760.0
2017-5-25,0.003236,0.003536,0.002917,0.002973,7043.0,3237690.0
2017-5-26,0.00295,0.003309,0.002628,0.002853,5863.0,2951820.0
2017-5-27,0.002863,0.002985,0.002432,0.002624,4739.0,2864950.0
2017-5-28,0.002639,0.002926,0.002639,0.002806,5674.0,2641260.0
2017-5-29,0.002801,0.003062,0.002702,0.002981,7062.0,2802480.0
2017-5-30,0.002984,0.003057,0.002824,0.002857,6411.0,2986040.0
2017-5-31,0.002869,0.003073,0.002765,0.002993,6448.0,2870580.0
2017-6-01,0.002996,0.003198,0.002932,0.003046,6664.0,2998030.0
2017-6-02,0.003048,0.003403,0.003021,0.003195,6319.0,3049640.0
2017-6-03,0.003193,0.003395,0.003178,0.003282,5677.0,3195560.0
2017-6-04,0.003273,0.003444,0.003175,0.003347,8426.0,3275470.0
2017-6-05,0.003348,0.004167,0.003344,0.003871,19426.0,3350030.0
2017-6-06,0.003808,0.004195,0.003774,0.004127,13351.0,3810690.0
2017-6-07,0.003988,0.004397,0.00378,0.003832,14191.0,3991090.0
2017-6-08,0.003851,0.004094,0.003731,0.004091,11411.0,3853910.0
2017-6-09,0.004067,0.004127,0.003843,0.004026,13434.0,4069710.0
2017-6-10,0.004032,0.004181,0.003948,0.004101,11858.0,4035450.0
2017-6-11,0.004099,0.00428,0.00393,0.0042,12796.0,4102090.0
2017-6-12,0.004195,0.004293,0.003504,0.00369,8662.0,4197660.0
2017-6-13,0.003678,0.00385,0.003551,0.003665,10187.0,3680680.0
2017-6-14,0.003663,0.003923,0.003214,0.003361,10759.0,3665390.0
2017-6-15,0.003361,0.003389,0.002878,0.003243,7384.0,3363200.0
2017-6-16,0.00324,0.003529,0.003034,0.003319,12201.0,3242390.0
