datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-6-28,0.002639,0.00267,0.002639,0.002657,267.0,0.0
2017-6-29,0.002655,0.102467,0.002537,0.061155,3978.0,0.0
2017-6-30,0.061277,0.076208,0.025216,0.049079,3276.0,0.0
2017-7-01,0.04906,0.224095,0.04906,0.072219,4861.0,0.0
2017-7-02,0.07221,0.205478,0.07115,0.150021,16122.0,0.0
2017-7-03,0.149468,0.161085,0.099426,0.127141,4474.0,0.0
2017-7-04,0.152192,0.161146,0.07707,0.077797,4337.0,0.0
2017-7-05,0.077755,0.100673,0.00746,0.018813,5921.0,0.0
2017-7-06,0.018822,0.055353,0.018822,0.054758,1028.0,0.0
2017-7-07,0.054798,0.0549,0.030661,0.032641,1954.0,0.0
2017-7-08,0.032669,0.047815,0.025469,0.02558,416.0,0.0
2017-7-09,0.025603,0.0387,0.016146,0.036186,1011.0,0.0
2017-7-10,0.036256,0.036708,0.012446,0.012852,135.0,0.0
2017-7-11,0.019891,0.045263,0.007523,0.019289,1104.0,120954.0
2017-7-12,0.01926,0.030883,0.013103,0.021451,138.0,117152.0
2017-7-13,0.021466,0.028039,0.014253,0.016537,539.0,130580.0
2017-7-14,0.016525,0.02645,0.014394,0.014817,1552.0,100528.0
2017-7-15,0.014792,0.024216,0.014765,0.015929,754.0,89991.0
2017-7-16,0.015881,0.01641,0.00964,0.013379,25.0,96635.0
2017-7-17,0.013364,0.020226,0.010114,0.011331,200.0,81321.0
2017-7-18,0.01136,0.02216,0.010236,0.011634,292.0,69160.0
2017-7-19,0.011653,0.020336,0.011354,0.020336,290.0,70975.0
2017-7-20,0.020275,0.127628,0.020275,0.04921,12236.0,123555.0
2017-7-21,0.049576,0.052181,0.033957,0.051976,1440.0,302247.0
2017-7-22,0.051966,0.159147,0.03911,0.050511,11608.0,316841.0
2017-7-23,0.050511,0.052096,0.037199,0.038179,2684.0,308072.0
2017-7-24,0.038135,0.087627,0.037245,0.044094,6850.0,232658.0
2017-7-25,0.04409,0.059586,0.034828,0.035361,2765.0,268995.0
2017-7-26,0.035375,0.068379,0.02406,0.037591,10226.0,215832.0
2017-7-27,0.037698,0.03844,0.011486,0.022264,9909.0,231160.0
2017-7-28,0.022333,0.030718,0.015399,0.030582,3052.0,137010.0
2017-7-29,0.030465,0.047535,0.020631,0.031337,2083.0,186906.0
2017-7-30,0.031333,0.042173,0.018473,0.027082,2786.0,192239.0
2017-7-31,0.02711,0.027371,0.014547,0.020263,2609.0,166346.0
2017-8-01,0.020275,0.02318,0.010622,0.01843,2014.0,124416.0
2017-8-02,0.018429,0.019789,0.018263,0.019634,641.0,113135.0
2017-8-03,0.019662,0.01984,0.002866,0.002927,46.0,120732.0
2017-8-04,0.002927,0.045516,0.002926,0.028528,224.0,17976.0
2017-8-05,0.028515,0.045979,0.028494,0.032543,20.0,175138.0
2017-8-06,0.032551,0.032928,0.031575,0.031779,1.0,200005.0
2017-8-12,0.189421,0.193903,0.189415,0.193567,2.0,1171850.0
2017-8-13,0.193387,0.209477,0.192954,0.20297,2.0,1196540.0
2017-8-14,0.203099,0.215904,0.199034,0.215772,2.0,1258020.0
2017-8-15,0.216352,0.221356,0.216352,0.220367,2.0,1334390.0
2017-8-22,0.028331,0.044847,0.005791,0.040908,4980.0,179622.0
2017-8-23,0.040826,0.045176,0.018056,0.024763,6022.0,259145.0
2017-8-24,0.024776,0.104151,0.019587,0.035827,17798.0,157456.0
2017-8-25,0.035771,0.040927,0.030958,0.031056,5702.0,227663.0
2017-8-26,0.031116,0.033609,0.027178,0.028737,2829.0,198256.0
